Fecha,Campo natural,Pastura base alfalfa,Pastura de agropiro,Pastura de digitaria,Pastura de lloron,Verdeo de avena,Verdeo de invierno,Verdeo de maiz,Verdeo de centeno,Pastura consociada,Pastura de alfalfa pura,Verdeo de raigras,Verdeo de sorgo,Campo natural con agropiro,Pastura de panicum coloratum,Verdeo de cebada,Verdeo de verano,Pastura de gatton panic,Pastura de buffel grass,Pastura de brachiaria,Pastura de gatton y gramma,Pastura de gramma,Pastura de panicum coloratum y gramma,Pastura de alfalfa pura SL,Pastizal,Pastura de setaria,Promocion de raigras,Monte,Promocion intensiva de raigras,Pastura de agropiro y festuca,Pastura de festuca,BraBr,Gm,Pastura de gatton panic con renoval,Pastura de buffel grass con renoval,Campo natural con festuca,Verdeo de triticale,Verdeo de avena y vicia,Estepa,CN,Set,Rg,Pastura de lloron SL,Agropiro,CNm,P,P2,P3,P4,Pd,Pi,SC,Vi,CBr,P5,Vv
03-2000,436.7,807.7,511.3,1328.4,1775.1,234.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-2000,311.5,481.9,459.6,493.7,914.8,542.1,1413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-2000,285.0,413.3,407.0,310.6,646.9,839.3,971.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-2000,271.0,402.2,385.0,345.9,564.2,791.2,533.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-2000,222.7,305.3,331.4,282.1,500.0,351.0,436.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-2000,230.5,366.1,356.6,424.3,587.3,323.8,423.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-2000,237.6,459.5,388.9,446.7,828.0,358.0,333.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-2000,275.5,713.3,546.2,1042.7,1344.8,307.6,334.8,537.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-2000,377.4,951.9,646.6,1371.5,1864.0,439.4,561.9,1190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2000,533.3,768.3,709.4,530.3,1759.7,,,4884.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-2001,588.3,814.6,674.7,1533.3,1652.9,,,6291.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-2001,493.0,670.2,528.7,1411.8,1029.0,618.1,,2634.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-2001,450.2,644.1,413.7,976.9,1156.0,390.4,,1188.1,242.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-2001,342.5,646.5,473.3,751.9,1035.2,490.9,,678.6,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-2001,259.5,407.2,358.7,536.5,681.3,623.5,,,344.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-2001,221.1,262.8,282.8,254.9,520.6,389.6,,,353.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
