Fecha,Pastura de gatton panic,Pastura de gatton y gramma,Pastura de gramma,Pastura de panicum coloratum,Pastura de panicum coloratum y gramma,Campo natural,Pastura de alfalfa pura SL,Verdeo de avena,Verdeo de sorgo,Pastura de alfalfa pura,Verdeo de invierno,Pastura de agropiro,Verdeo de maiz
01-2000,,,,,,,,,,,,,
02-2000,,,,,,,,,,,,,
03-2000,641.8,698.6,305.5,375.6,533.9,,,,,,,,
04-2000,171.3,247.9,112.9,106.4,266.8,,,,,,,,
05-2000,115.0,239.1,209.1,122.4,176.8,,,,,,,,
06-2000,38.0,81.6,115.8,73.1,38.9,,,,,,,,
07-2000,0.0,0.0,0.0,0.0,0.0,,,,,,,,
08-2000,0.0,0.0,0.0,0.0,0.0,,,,,,,,
09-2000,76.4,123.8,54.8,64.0,66.3,,,,,,,,
10-2000,215.6,244.3,156.3,107.9,130.5,,,,,,,,
11-2000,339.7,335.9,807.1,402.0,309.9,,,,,,,,
12-2000,1245.2,1054.5,2240.1,1905.7,1311.5,,,,,,,,
01-2001,2977.3,1621.5,2443.5,2598.5,2599.9,,,,,,,,
02-2001,2859.6,3486.3,1943.9,2199.8,3126.2,,,,,,,,
03-2001,1540.0,889.1,792.7,1130.2,1138.4,,,,,,,,
04-2001,768.3,280.8,406.4,654.6,375.6,,,,,,,,
05-2001,419.5,295.5,286.1,368.2,135.0,,,,,,,,
06-2001,190.3,103.6,110.7,185.6,48.5,,,,,,,,
07-2001,0.0,0.0,0.0,0.0,0.0,,,,,,,,
08-2001,0.0,0.0,0.0,0.0,0.0,,,,,,,,
09-2001,80.9,82.8,94.2,78.5,72.9,,,,,,,,
10-2001,289.8,444.7,384.6,291.6,263.3,,,,,,,,
11-2001,1104.1,1126.9,829.2,806.0,426.2,,,,,,,,
12-2001,2514.9,1225.1,1653.9,1837.1,1894.1,,,,,,,,
01-2002,3265.9,1125.0,2146.0,2658.8,2104.4,,,,,,,,
02-2002,2184.2,794.7,1531.6,1736.7,2349.4,,,,,,,,
03-2002,1213.0,334.3,550.5,1011.9,539.4,,,,,,,,
04-2002,672.5,213.3,414.4,558.1,199.7,,,,,,,,
05-2002,363.9,211.1,310.9,303.3,256.7,287.1,,,,,,,
06-2002,78.8,55.4,54.9,68.7,85.7,251.2,,,,,,,
07-2002,0.0,0.0,0.0,0.0,0.0,239.6,,,,,,,
08-2002,0.0,0.0,0.0,0.0,0.0,227.7,,,,,,,
